duration,protocol_type,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,is_host_login,is_guest_login,num_shells,num_outbound_cmds,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_access_files,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate
2,tcp,http,OTH,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,1000.0,616.0,0.0,0.0,0.0,0.0,0.00199,0.615,1.0,2.0,616.0,0.9838980013493,0.9936708860759493,0.00199,1.0,0.0,0.0,0.0,0.0
2,tcp,http,OTH,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,1000.0,616.0,0.0,0.0,0.0,0.0,0.00199,0.615,1.0,2.0,616.0,0.9838980013493,0.9936708860759493,0.00199,1.0,0.0,0.0,0.0,0.0
2,tcp,http,OTH,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,1000.0,616.0,0.0,0.0,0.0,0.0,0.00199,0.615,1.0,2.0,616.0,0.9838980013493,0.9936708860759493,0.00199,1.0,0.0,0.0,0.0,0.0
2,tcp,http,OTH,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,1000.0,616.0,0.0,0.0,0.0,0.0,0.00199,0.615,1.0,2.0,616.0,0.9838980013493,0.9936708860759493,0.00199,1.0,0.0,0.0,0.0,0.0
2,tcp,http,OTH,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,1000.0,616.0,0.0,0.0,0.0,0.0,0.00199,0.615,1.0,2.0,616.0,0.9838980013493,0.9936708860759493,0.00199,1.0,0.0,0.0,0.0,0.0
2,tcp,http,OTH,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,1000.0,616.0,0.0,0.0,0.0,0.0,0.00199,0.615,1.0,2.0,616.0,0.9838980013493,0.9936708860759493,0.00199,1.0,0.0,0.0,0.0,0.0
2,tcp,http,OTH,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,1000.0,616.0,0.0,0.0,0.0,0.0,0.00199,0.615,1.0,2.0,616.0,0.9838980013493,0.9936708860759493,0.00199,1.0,0.0,0.0,0.0,0.0
2,tcp,http,OTH,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,1000.0,616.0,0.0,0.0,0.0,0.0,0.00199,0.615,1.0,2.0,616.0,0.9838980013493,0.9936708860759493,0.00199,1.0,0.0,0.0,0.0,0.0
2,tcp,http,OTH,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,1000.0,616.0,0.0,0.0,0.0,0.0,0.00199,0.615,1.0,2.0,616.0,0.9838980013493,0.9936708860759493,0.00199,1.0,0.0,0.0,0.0,0.0
2,tcp,http,OTH,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,1000.0,616.0,0.0,0.0,0.0,0.0,0.00199,0.615,1.0,2.0,616.0,0.9838980013493,0.9936708860759493,0.00199,1.0,0.0,0.0,0.0,0.0
2,tcp,http,OTH,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,1000.0,616.0,0.0,0.0,0.0,0.0,0.00199,0.615,1.0,2.0,616.0,0.9838980013493,0.9936708860759493,0.00199,1.0,0.0,0.0,0.0,0.0
2,tcp,http,OTH,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,1000.0,616.0,0.0,0.0,0.0,0.0,0.00199,0.615,1.0,2.0,616.0,0.9838980013493,0.9936708860759493,0.00199,1.0,0.0,0.0,0.0,0.0
2,tcp,http,OTH,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,1000.0,616.0,0.0,0.0,0.0,0.0,0.00199,0.615,1.0,2.0,616.0,0.9838980013493,0.9936708860759493,0.00199,1.0,0.0,0.0,0.0,0.0
2,tcp,http,OTH,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,1000.0,616.0,0.0,0.0,0.0,0.0,0.00199,0.615,1.0,2.0,616.0,0.9838980013493,0.9936708860759493,0.00199,1.0,0.0,0.0,0.0,0.0
2,tcp,http,OTH,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,1000.0,616.0,0.0,0.0,0.0,0.0,0.00199,0.615,1.0,2.0,616.0,0.9838980013493,0.9936708860759493,0.00199,1.0,0.0,0.0,0.0,0.0
2,tcp,http,OTH,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,1000.0,616.0,0.0,0.0,0.0,0.0,0.00199,0.615,1.0,2.0,616.0,0.9838980013493,0.9936708860759493,0.00199,1.0,0.0,0.0,0.0,0.0
2,tcp,http,OTH,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,1000.0,616.0,0.0,0.0,0.0,0.0,0.00199,0.615,1.0,2.0,616.0,0.9838980013493,0.9936708860759493,0.00199,1.0,0.0,0.0,0.0,0.0
2,tcp,http,OTH,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,1000.0,616.0,0.0,0.0,0.0,0.0,0.00199,0.615,1.0,2.0,616.0,0.9838980013493,0.9936708860759493,0.00199,1.0,0.0,0.0,0.0,0.0
2,tcp,http,OTH,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,1000.0,616.0,0.0,0.0,0.0,0.0,0.00199,0.615,1.0,2.0,616.0,0.9838980013493,0.9936708860759493,0.00199,1.0,0.0,0.0,0.0,0.0
2,tcp,http,OTH,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,1000.0,616.0,0.0,0.0,0.0,0.0,0.00199,0.615,1.0,2.0,616.0,0.9838980013493,0.9936708860759493,0.00199,1.0,0.0,0.0,0.0,0.0
2,tcp,http,OTH,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,1000.0,616.0,0.0,0.0,0.0,0.0,0.00199,0.615,1.0,2.0,616.0,0.9838980013493,0.9936708860759493,0.00199,1.0,0.0,0.0,0.0,0.0
2,tcp,http,OTH,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,1000.0,616.0,0.0,0.0,0.0,0.0,0.00199,0.615,1.0,2.0,616.0,0.9838980013493,0.9936708860759493,0.00199,1.0,0.0,0.0,0.0,0.0
2,tcp,http,OTH,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,1000.0,616.0,0.0,0.0,0.0,0.0,0.00199,0.615,1.0,2.0,616.0,0.9838980013493,0.9936708860759493,0.00199,1.0,0.0,0.0,0.0,0.0
2,tcp,http,OTH,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,1000.0,616.0,0.0,0.0,0.0,0.0,0.00199,0.615,1.0,2.0,616.0,0.9838980013493,0.9936708860759493,0.00199,1.0,0.0,0.0,0.0,0.0
2,tcp,http,OTH,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,1000.0,616.0,0.0,0.0,0.0,0.0,0.00199,0.615,1.0,2.0,616.0,0.9838980013493,0.9936708860759493,0.00199,1.0,0.0,0.0,0.0,0.0
2,tcp,http,OTH,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,1000.0,616.0,0.0,0.0,0.0,0.0,0.00199,0.615,1.0,2.0,616.0,0.9838980013493,0.9936708860759493,0.00199,1.0,0.0,0.0,0.0,0.0
2,tcp,http,OTH,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,1000.0,616.0,0.0,0.0,0.0,0.0,0.00199,0.615,1.0,2.0,616.0,0.9838980013493,0.9936708860759493,0.00199,1.0,0.0,0.0,0.0,0.0
2,tcp,http,OTH,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,1000.0,616.0,0.0,0.0,0.0,0.0,0.00199,0.615,1.0,2.0,616.0,0.9838980013493,0.9936708860759493,0.00199,1.0,0.0,0.0,0.0,0.0
2,tcp,http,OTH,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,1000.0,616.0,0.0,0.0,0.0,0.0,0.00199,0.615,1.0,2.0,616.0,0.9838980013493,0.9936708860759493,0.00199,1.0,0.0,0.0,0.0,0.0
2,tcp,http,OTH,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,1000.0,616.0,0.0,0.0,0.0,0.0,0.00199,0.615,1.0,2.0,616.0,0.9838980013493,0.9936708860759493,0.00199,1.0,0.0,0.0,0.0,0.0
2,tcp,http,OTH,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,1000.0,616.0,0.0,0.0,0.0,0.0,0.00199,0.615,1.0,2.0,616.0,0.9838980013493,0.9936708860759493,0.00199,1.0,0.0,0.0,0.0,0.0
2,tcp,http,OTH,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,1000.0,616.0,0.0,0.0,0.0,0.0,0.00199,0.615,1.0,2.0,616.0,0.9838980013493,0.9936708860759493,0.00199,1.0,0.0,0.0,0.0,0.0
2,tcp,http,OTH,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,1000.0,616.0,0.0,0.0,0.0,0.0,0.00199,0.615,1.0,2.0,616.0,0.9838980013493,0.9936708860759493,0.00199,1.0,0.0,0.0,0.0,0.0
2,tcp,http,OTH,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,1000.0,616.0,0.0,0.0,0.0,0.0,0.00199,0.615,1.0,2.0,616.0,0.9838980013493,0.9936708860759493,0.00199,1.0,0.0,0.0,0.0,0.0
2,tcp,http,OTH,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,1000.0,616.0,0.0,0.0,0.0,0.0,0.00199,0.615,1.0,2.0,616.0,0.9838980013493,0.9936708860759493,0.00199,1.0,0.0,0.0,0.0,0.0
2,tcp,http,OTH,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,1000.0,616.0,0.0,0.0,0.0,0.0,0.00199,0.615,1.0,2.0,616.0,0.9838980013493,0.9936708860759493,0.00199,1.0,0.0,0.0,0.0,0.0
2,tcp,http,OTH,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,1000.0,616.0,0.0,0.0,0.0,0.0,0.00199,0.615,1.0,2.0,616.0,0.9838980013493,0.9936708860759493,0.00199,1.0,0.0,0.0,0.0,0.0
2,tcp,http,OTH,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,1000.0,616.0,0.0,0.0,0.0,0.0,0.00199,0.615,1.0,2.0,616.0,0.9838980013493,0.9936708860759493,0.00199,1.0,0.0,0.0,0.0,0.0
2,tcp,http,OTH,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,1000.0,616.0,0.0,0.0,0.0,0.0,0.00199,0.615,1.0,2.0,616.0,0.9838980013493,0.9936708860759493,0.00199,1.0,0.0,0.0,0.0,0.0
2,tcp,http,OTH,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,1000.0,616.0,0.0,0.0,0.0,0.0,0.00199,0.615,1.0,2.0,616.0,0.9838980013493,0.9936708860759493,0.00199,1.0,0.0,0.0,0.0,0.0
2,tcp,http,OTH,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,1000.0,616.0,0.0,0.0,0.0,0.0,0.00199,0.615,1.0,2.0,616.0,0.9838980013493,0.9936708860759493,0.00199,1.0,0.0,0.0,0.0,0.0
2,tcp,http,OTH,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,1000.0,616.0,0.0,0.0,0.0,0.0,0.00199,0.615,1.0,2.0,616.0,0.9838980013493,0.9936708860759493,0.00199,1.0,0.0,0.0,0.0,0.0
2,tcp,http,OTH,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,1000.0,616.0,0.0,0.0,0.0,0.0,0.00199,0.615,1.0,2.0,616.0,0.9838980013493,0.9936708860759493,0.00199,1.0,0.0,0.0,0.0,0.0
2,tcp,http,OTH,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,1000.0,616.0,0.0,0.0,0.0,0.0,0.00199,0.615,1.0,2.0,616.0,0.9838980013493,0.9936708860759493,0.00199,1.0,0.0,0.0,0.0,0.0
2,tcp,http,OTH,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,1000.0,616.0,0.0,0.0,0.0,0.0,0.00199,0.615,1.0,2.0,616.0,0.9838980013493,0.9936708860759493,0.00199,1.0,0.0,0.0,0.0,0.0
2,tcp,http,OTH,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,1000.0,616.0,0.0,0.0,0.0,0.0,0.00199,0.615,1.0,2.0,616.0,0.9838980013493,0.9936708860759493,0.00199,1.0,0.0,0.0,0.0,0.0
2,tcp,http,OTH,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,1000.0,616.0,0.0,0.0,0.0,0.0,0.00199,0.615,1.0,2.0,616.0,0.9838980013493,0.9936708860759493,0.00199,1.0,0.0,0.0,0.0,0.0
2,tcp,http,OTH,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,1000.0,616.0,0.0,0.0,0.0,0.0,0.00199,0.615,1.0,2.0,616.0,0.9838980013493,0.9936708860759493,0.00199,1.0,0.0,0.0,0.0,0.0
2,tcp,http,OTH,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,1000.0,616.0,0.0,0.0,0.0,0.0,0.00199,0.615,1.0,2.0,616.0,0.9838980013493,0.9936708860759493,0.00199,1.0,0.0,0.0,0.0,0.0
2,tcp,http,OTH,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,1000.0,616.0,0.0,0.0,0.0,0.0,0.00199,0.615,1.0,2.0,616.0,0.9838980013493,0.9936708860759493,0.00199,1.0,0.0,0.0,0.0,0.0
2,tcp,http,OTH,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,1000.0,616.0,0.0,0.0,0.0,0.0,0.00199,0.615,1.0,2.0,616.0,0.9838980013493,0.9936708860759493,0.00199,1.0,0.0,0.0,0.0,0.0
2,tcp,http,OTH,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,1000.0,616.0,0.0,0.0,0.0,0.0,0.00199,0.615,1.0,2.0,616.0,0.9838980013493,0.9936708860759493,0.00199,1.0,0.0,0.0,0.0,0.0
2,tcp,http,OTH,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,1000.0,616.0,0.0,0.0,0.0,0.0,0.00199,0.615,1.0,2.0,616.0,0.9838980013493,0.9936708860759493,0.00199,1.0,0.0,0.0,0.0,0.0
2,tcp,http,OTH,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,1000.0,616.0,0.0,0.0,0.0,0.0,0.00199,0.615,1.0,2.0,616.0,0.9838980013493,0.9936708860759493,0.00199,1.0,0.0,0.0,0.0,0.0
